div,year,quarter,n_samples,n0,n1,n2,n3,ton,mw0,mw1,mw2,mw3
IV,2006,1,23,0,2141546.741,1279316.6646,213594.5151,44070.297763,0.0057220959,0.0109126203,0.0135661276,0.0156118178
IV,2006,2,7,369179.37578,550490.59703,947965.52503,184673.64988,28946.924106,0.0077944663,0.0140551154,0.0158285631,0.0180216651
IV,2006,3,13,187415.74892,134836.9399,161448.33989,10099.605548,4388.2866409,0.0041534495,0.0099699589,0.0131611544,0.0139311888
IV,2006,4,0,12475.434817,10061.21565,11460.530114,718.2142391,314.21534562,0.0052815906,0.0093646818,0.012520242,0.0147818184
IV,2007,1,34,0,1720919.2118,154481.11084,49152.155376,23294.43829,0.0057220959,0.0118922289,0.0133651572,0.0155448429
IV,2007,2,40,771901.43964,4371599.0606,1450886.4705,180272.41462,71503.059724,0.006658867,0.0102428057,0.0129324313,0.0156461694
IV,2007,3,13,457228.31545,284232.42286,15901.829188,17451.928913,4792.3707236,0.0046718456,0.0079009734,0.0119823117,0.0126070393
IV,2007,4,4,52286.561849,39394.784082,2778.3816392,3644.5050983,707.64689611,0.0050938077,0.0090317277,0.0120750945,0.0142562622
IV,2008,1,10,13190.40597,476677.30817,1401065.3361,259105.16312,24640.267935,0.0063234329,0.0103333282,0.0115503542,0.0132979368
IV,2008,2,9,2264118.9323,1920213.7513,876336.46991,202389.51253,40059.714446,0.0045694398,0.008075781,0.0127417251,0.0147479194
IV,2008,3,14,906606.63122,93148.760729,71109.853994,18243.920634,4562.5434026,0.0033796594,0.007314029,0.0090373352,0.0095695115
IV,2008,4,5,512006.86524,91390.127109,13233.174761,4033.0851238,3067.8488482,0.0043931244,0.007203667,0.0092072316,0.0095098572
IV,2009,1,33,0,4591016.2022,139610.9387,23278.879986,46267.870476,0.0057220959,0.0096136921,0.0128584332,0.0144328812
IV,2009,2,36,296910.50194,8258652.0687,436835.26281,94694.2736,88401.737274,0.0046207099,0.0096444622,0.013608965,0.0151621699
IV,2009,3,18,209842.75435,3470885.1095,420690.07953,63984.4162,33492.247084,0.0042240023,0.0078095072,0.0108886939,0.0143660444
IV,2009,4,5,118770.7226,245343.59511,53431.929005,7822.2278939,4100.3768364,0.0086336014,0.0097265867,0.0107895551,0.0143303494
IV,2010,1,35,22704.811556,1610355.7042,407063.67793,57265.09976,18079.931782,0.0065617855,0.0080889316,0.0100818033,0.0138016509
IV,2010,2,28,426236.83531,3558012.1026,2878624.0424,1777072.0831,98527.444297,0.004832063,0.0095854286,0.011778381,0.0153160135
IV,2010,3,15,324369.62452,2550874.9845,542162.2789,69671.328388,26500.15314,0.0051654851,0.0073040263,0.0096978771,0.0134222439
